title_norm,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
edge of tomorrow,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
edward scissorhands,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False
efter brylluppet,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
el secreto de sus ojos,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False
empire of the sun,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
en man som heter ove,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
end of watch,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
enemy at the gates,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False
enter the dragon,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
escape from alcatraz,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
eternal sunshine of the spotless mind,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False
evil dead ii,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
ex machina,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
fa yeung nin wah,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
falling down,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
fanny och alexander,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
fantasia,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
fantastic mr fox,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
fargo,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
fear and loathing in las vegas,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ferris bueller s day off,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
festen,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
fiddler on the roof,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False
fight club,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
finding nemo,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
finding neverland,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
first blood,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
flipped,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
ford v ferrari,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
forrest gump,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
forushande,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
fried green tomatoes,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
from here to eternity,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
frost nixon,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
full metal jacket,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
gake no ue no ponyo,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gandhi,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
gattaca,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
get out,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
ghostbusters,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
gifted,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gisaengchung,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
giu la testa,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
gladiator,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
glengarry glen ross,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
glory,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
goldfinger,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
gone baby gone,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
gone girl,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
gone with the wind,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
good bye lenin,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
good will hunting,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
goodfellas,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gran torino,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gravity,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
green book,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
groundhog day,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
guardians of the galaxy,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
guardians of the galaxy vol 2,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gully boy,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False
hable con ella,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False
hacksaw ridge,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
haevnen,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
halloween,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
hannah and her sisters,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
harry potter and the deathly hallows part 1,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
harry potter and the deathly hallows part 2,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
harry potter and the goblet of fire,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
harry potter and the half blood prince,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
harry potter and the prisoner of azkaban,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
harry potter and the sorcerer s stone,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
hauru no ugoku shiro,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
heat,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
hedwig and the angry inch,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
hell or high water,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
her,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False
hidden figures,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
high noon,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True
home alone,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
hot fuzz,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
hotel rwanda,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
how to train your dragon,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
how to train your dragon 2,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
hunt for the wilderpeople,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
huo yuan jia,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
i am sam,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
i daniel blake,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
il buono il brutto il cattivo,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
il conformista,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
il postino,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
in america,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
in bruges,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
in the heat of the night,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
in the name of the father,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
incendies,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
inception,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
incredibles 2,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
indiana jones and the last crusade,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
inglourious basterds,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
inside man,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
inside out,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
interstellar,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
into the wild,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
