film,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Released_Year,Runtime,IMDB_Rating,No_of_Votes,Gross,budget,revenue,popularity
The Bourne Ultimatum,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,2007.0,115,8.0,604694,227471070,70000000,442824138,45.381501
The Curious Case of Benjamin Button,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,2008.0,166,7.8,589160,127509326,150000000,333932083,60.269279
The Dark Knight,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2008.0,152,9.0,2303232,534858444,185000000,1004558444,187.322927
The Dark Knight Rises,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2012.0,164,8.4,1516346,448139099,250000000,1084939099,112.31295
The Departed,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2006.0,151,8.5,1189773,132384315,90000000,289847354,63.429157
The Exorcist,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1973.0,122,8.0,362393,232906145,8000000,441306145,47.584643
The Fighter,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2010.0,116,7.8,340584,93617009,25000000,93617009,31.019381
The Girl with the Dragon Tattoo,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2011.0,158,7.8,423010,102515793,90000000,232617430,47.651083
The Godfather,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1972.0,175,9.2,1620367,134966411,6000000,245066411,143.659698
The Godfather: Part III,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1990.0,162,7.6,359809,66666062,54000000,136766062,59.194915
The Green Mile,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1999.0,189,8.6,1147794,136801374,60000000,284600000,103.698022
The Hangover,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2009.0,100,7.7,717559,277322503,35000000,459270619,82.21166
The Hateful Eight,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2015.0,168,7.8,517059,54117416,44000000,155760117,68.717016
