class,canonicalcategory,category,film,name,nominees,winner,detail,multifilmnomination
Title,DOCUMENTARY (Short Subject),DOCUMENTARY (Short Subject),Red Grooms: Sunflower in a Hothouse,"Thomas L. Neff and Madeline Bell, Producers","Thomas L. Neff, Madeline Bell",False,nan,nan
Title,DOCUMENTARY (Short Subject),DOCUMENTARY (Short Subject),Sam,"Aaron D. Weisblatt, Producer",Aaron D. Weisblatt,False,nan,nan
Title,DOCUMENTARY (Short Subject),DOCUMENTARY (Short Subject),"Women--for America, for the World","Vivienne Verdon-Roe, Producer",Vivienne Verdon-Roe,True,nan,nan
Production,FILM EDITING,FILM EDITING,Aliens,Ray Lovejoy,Ray Lovejoy,False,nan,nan
Production,FILM EDITING,FILM EDITING,Hannah and Her Sisters,Susan E. Morse,Susan E. Morse,False,nan,nan
Production,FILM EDITING,FILM EDITING,The Mission,Jim Clark,Jim Clark,False,nan,nan
Production,FILM EDITING,FILM EDITING,Platoon,Claire Simpson,Claire Simpson,True,nan,nan
Production,FILM EDITING,FILM EDITING,Top Gun,"Billy Weber, Chris Lebenzon","Billy Weber, Chris Lebenzon",False,nan,nan
Title,INTERNATIONAL FEATURE FILM,FOREIGN LANGUAGE FILM,The Assault,The Netherlands,nan,True,nan,nan
Title,INTERNATIONAL FEATURE FILM,FOREIGN LANGUAGE FILM,Betty Blue,France,nan,False,nan,nan
Title,INTERNATIONAL FEATURE FILM,FOREIGN LANGUAGE FILM,The Decline of the American Empire,Canada,nan,False,nan,nan
Title,INTERNATIONAL FEATURE FILM,FOREIGN LANGUAGE FILM,My Sweet Little Village,Czechoslovakia,nan,False,nan,nan
Title,INTERNATIONAL FEATURE FILM,FOREIGN LANGUAGE FILM,'38',Austria,nan,False,nan,nan
Production,MAKEUP AND HAIRSTYLING,MAKEUP,The Clan of the Cave Bear,"Michael G. Westmore, Michèle Burke","Michael G. Westmore, Michèle Burke",False,nan,nan
Production,MAKEUP AND HAIRSTYLING,MAKEUP,The Fly,"Chris Walas, Stephan Dupuis","Chris Walas, Stephan Dupuis",True,nan,nan
