actor,total_films,mean_rating,mean_gross,wins
Scott Glenn,2,7.75,49065953.5,5
Eli Wallach,2,8.25,5502500.0,0
Zach Galifianakis,2,7.7,159831550.5,4
Edward Furlong,2,8.5,105781607.0,4
Eddie Murphy,2,7.699999999999999,194142632.5,1
Zachary Quinto,2,7.800000000000001,243254340.0,1
Zbigniew Zamachowski,2,7.75,1394799.5,0
Sterling Hayden,2,8.0,617451.0,1
Don Rickles,2,7.95,96587334.0,1
Don Cheadle,2,7.9,39055596.0,3
Dominique Pinon,2,7.6,3981002.0,0
Sebastian Koch,2,8.05,7842252.0,1
Djimon Hounsou,2,7.85,36452764.0,0
Ziyi Zhang,2,7.85,90894445.5,0
Dev Patel,2,8.0,96529711.5,8
Shirley MacLaine,2,8.15,24388755.5,6
Dennis Hopper,2,7.800000000000001,10416364.0,0
Sam Worthington,2,7.949999999999999,413858620.0,5
Emmanuelle Seigner,2,7.8,8145890.5,2
Won Bin,2,7.949999999999999,829176.5,0
Frederic Forrest,2,8.1,43945755.5,2
George MacKay,2,8.100000000000001,82551325.0,3
George Cukor,2,8.05,100376239.5,12
James Mason,2,8.0,33637500.0,0
Rosario Dawson,2,7.6,41506333.5,0
Gene Kelly,2,8.3,8819028.0,0
Will Smith,2,7.8,116759141.5,0
Rufus Sewell,2,7.6,27123486.5,0
Gary Sinise,2,8.2,252045057.5,8
Suzanne Pleshette,2,8.15,10729694.0,0
Gabriel Byrne,2,8.1,14210988.5,2
Fred MacMurray,2,8.3,12160000.0,5
Sam Neill,2,8.0,203828232.0,3
Strother Martin,2,8.05,59263331.0,5
Ryan Reynolds,2,7.85,343831222.0,0
William Holden,2,8.0,28486236.0,7
Forest Whitaker,2,7.800000000000001,59076000.0,2
Fionnula Flanagan,2,7.85,48690105.5,0
Fernando Rey,2,7.800000000000001,7914759.5,5
Felicity Jones,2,7.75,284035430.5,1
F. Murray Abraham,2,8.2,55536673.5,12
Ryûnosuke Kamiki,2,8.0,12109994.5,0
Sam Elliott,2,7.699999999999999,135896965.5,4
James Garner,2,8.0,46550893.5,0
Jamie Lee Curtis,2,7.800000000000001,106179875.5,0
Taraneh Alidoosti,2,7.9,1254364.5,0
Lea Thompson,2,8.15,164554881.0,1
Laurence Fishburne,2,8.25,114491999.5,4
Laura Obiols,2,7.95,3124121.5,0
Max von Sydow,2,7.8,182489535.5,2
Laura Linney,2,7.9,90867192.0,0
Melinda Dillon,2,7.75,76346922.0,2
Melissa Leo,2,7.949999999999999,77309655.5,2
Kirk Douglas,2,8.0,16984946.5,4
Kim Hunter,2,8.0,20697713.0,5
Tom Berenger,2,7.9,107581236.0,5
Melvyn Douglas,2,7.85,16051122.0,1
Mia Farrow,2,7.800000000000001,25357687.0,3
Michael Biehn,2,8.15,61780124.0,2
Keith David,2,8.1,76156701.5,4
Thomas Bo Larsen,2,8.15,1167482.5,0
Michael Douglas,2,7.699999999999999,44613620.5,0
Katharine Ross,2,8.0,103627097.0,5
Katharine Hepburn,2,7.65,59910775.0,4
Michael Fassbender,2,7.9,101540149.0,3
Michael Gambon,2,7.85,341485208.0,0
Michael J. Fox,2,8.15,164554881.0,1
Justin Theroux,2,7.75,11145264.0,0
Michael Keaton,2,7.9,43698187.0,6
Julie Christie,2,7.8,81701306.5,6
Laurence Olivier,2,8.0,17180000.0,6
Tilda Swinton,2,7.75,74877593.5,4
Michael McKean,2,7.75,24859515.5,0
Deborah Kara Unger,2,7.699999999999999,49496277.0,1
Martin Landau,2,7.85,12071079.5,2
Martin Sheen,2,8.25,124043431.0,2
Mark Rylance,2,7.699999999999999,130343457.5,4
Tim Robbins,2,7.800000000000001,48123085.0,2
Mary McDonnell,2,8.0,92844427.0,7
Marisa Tomei,2,7.75,39582885.5,1
Mary Steenburgen,2,7.9,5338594.5,0
Marisa Paredes,2,7.699999999999999,5725171.0,0
Massimo Troisi,2,7.7,21848932.0,0
Maribel Verdú,2,7.8999999999999995,25628474.0,3
Margot Robbie,2,7.8999999999999995,129701711.0,2
Maggie Cheung,2,8.0,28222031.5,0
Mathieu Amalric,2,8.05,32545196.5,4
Madeline Kahn,2,8.05,58616871.5,1
Madeleine Stowe,2,7.85,66323657.5,1
Mackenzie Foy,2,8.15,94679584.5,1
Logan Lerman,2,7.85,35672743.0,0
Linda Hamilton,2,8.25,121621675.0,4
Liev Schreiber,2,7.85,47862341.0,3
Tim Roth,2,8.2,1545578.0,0
Leonard Nimoy,2,7.800000000000001,168321491.0,1
Lee Van Cleef,2,8.55,10550000.0,0
Matthew Goode,2,7.8,57107804.5,1
Julie Andrews,2,7.9,132743506.5,10
Tom Sizemore,2,8.15,162589827.0,7
James Rebhorn,2,7.9,56109627.5,1
Nicoletta Braschi,2,8.2,29517123.5,0
Tôru Emori,2,7.75,505143.5,0
Jessica Tandy,2,7.7,46911015.0,0
Jessica Lange,2,7.95,52040339.0,4
Jessica Chastain,2,8.3,208226840.0,1
